comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
61,0.004545455,0.322727273,0.004545455,0.186363636,0.004545455,0.004545455,0.186363636,0.05,0.231818182,0.004545455
62,0.0125,0.2625,0.0125,0.0125,0.0125,0.2625,0.0125,0.1375,0.2625,0.0125
63,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.025,0.025,0.525
64,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.02,0.42,0.02
65,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05
66,0.003703704,0.225925926,0.040740741,0.077777778,0.003703704,0.077777778,0.114814815,0.077777778,0.188888889,0.188888889
67,0.273076923,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.234615385,0.426923077,0.003846154,0.042307692
68,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
69,0.02,0.02,0.02,0.02,0.62,0.22,0.02,0.02,0.02,0.02
70,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
71,0.003125,0.003125,0.003125,0.096875,0.253125,0.128125,0.003125,0.003125,0.471875,0.034375
72,0.025,0.025,0.025,0.025,0.525,0.025,0.025,0.275,0.025,0.025
73,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
74,0.004761905,0.004761905,0.480952381,0.004761905,0.052380952,0.004761905,0.052380952,0.004761905,0.004761905,0.385714286
75,0.140909091,0.004545455,0.004545455,0.140909091,0.095454545,0.004545455,0.140909091,0.004545455,0.140909091,0.322727273
76,0.004761905,0.1,0.004761905,0.004761905,0.052380952,0.004761905,0.29047619,0.052380952,0.29047619,0.195238095
77,0.078461538,0.001538462,0.047692308,0.524615385,0.047692308,0.001538462,0.201538462,0.001538462,0.093846154,0.001538462
78,0.01,0.01,0.21,0.01,0.01,0.01,0.01,0.01,0.71,0.01
79,0.2625,0.0125,0.2625,0.0125,0.2625,0.0125,0.0125,0.0125,0.1375,0.0125
80,0.7,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333
81,0.091666667,0.008333333,0.008333333,0.008333333,0.091666667,0.175,0.008333333,0.008333333,0.008333333,0.591666667
82,0.373684211,0.005263158,0.005263158,0.005263158,0.005263158,0.531578947,0.005263158,0.057894737,0.005263158,0.005263158
83,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55
84,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
85,0.016666667,0.016666667,0.016666667,0.016666667,0.516666667,0.016666667,0.35,0.016666667,0.016666667,0.016666667
86,0.009090909,0.009090909,0.009090909,0.009090909,0.009090909,0.281818182,0.281818182,0.009090909,0.372727273,0.009090909
87,0.004166667,0.004166667,0.004166667,0.170833333,0.129166667,0.129166667,0.004166667,0.004166667,0.545833333,0.004166667
88,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.014285714,0.442857143,0.442857143,0.014285714,0.014285714
89,0.025,0.275,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.275
90,0.016666667,0.35,0.516666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667
91,0.0125,0.0125,0.2625,0.0125,0.0125,0.0125,0.0125,0.1375,0.0125,0.5125
92,0.0125,0.0125,0.0125,0.0125,0.0125,0.5125,0.3875,0.0125,0.0125,0.0125
93,0.00625,0.00625,0.56875,0.00625,0.00625,0.00625,0.13125,0.25625,0.00625,0.00625
94,0.02,0.42,0.22,0.02,0.02,0.02,0.22,0.02,0.02,0.02
95,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.22,0.02,0.22
96,0.02,0.02,0.02,0.22,0.02,0.62,0.02,0.02,0.02,0.02
97,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333,0.033333333
98,0.606666667,0.006666667,0.006666667,0.006666667,0.006666667,0.006666667,0.206666667,0.006666667,0.006666667,0.14
99,0.388461538,0.042307692,0.003846154,0.311538462,0.003846154,0.003846154,0.003846154,0.003846154,0.003846154,0.234615385
100,0.01,0.31,0.01,0.61,0.01,0.01,0.01,0.01,0.01,0.01
101,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
102,0.003448276,0.417241379,0.003448276,0.003448276,0.417241379,0.003448276,0.106896552,0.037931034,0.003448276,0.003448276
103,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05
104,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42
105,0.005882353,0.005882353,0.770588235,0.005882353,0.005882353,0.005882353,0.005882353,0.182352941,0.005882353,0.005882353
106,0.234615385,0.003846154,0.003846154,0.234615385,0.273076923,0.003846154,0.003846154,0.080769231,0.157692308,0.003846154
107,0.01,0.21,0.01,0.01,0.01,0.01,0.21,0.01,0.41,0.11
108,0.0125,0.0125,0.0125,0.0125,0.8875,0.0125,0.0125,0.0125,0.0125,0.0125
109,0.083783784,0.002702703,0.516216216,0.002702703,0.002702703,0.083783784,0.110810811,0.002702703,0.191891892,0.002702703
110,0.02,0.02,0.62,0.02,0.02,0.22,0.02,0.02,0.02,0.02
111,0.352173913,0.004347826,0.047826087,0.004347826,0.004347826,0.004347826,0.004347826,0.004347826,0.569565217,0.004347826
112,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
113,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333,0.033333333
114,0.084615385,0.776923077,0.007692308,0.007692308,0.007692308,0.007692308,0.007692308,0.084615385,0.007692308,0.007692308
115,0.0125,0.0125,0.1375,0.2625,0.0125,0.0125,0.0125,0.1375,0.0125,0.3875
116,0.004761905,0.814285714,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.147619048,0.004761905,0.004761905
117,0.016666667,0.016666667,0.516666667,0.016666667,0.183333333,0.016666667,0.016666667,0.016666667,0.183333333,0.016666667
118,0.003225806,0.003225806,0.003225806,0.067741935,0.293548387,0.067741935,0.45483871,0.003225806,0.003225806,0.1
119,0.002173913,0.154347826,0.089130435,0.002173913,0.067391304,0.219565217,0.002173913,0.002173913,0.306521739,0.154347826
120,0.008333333,0.008333333,0.008333333,0.008333333,0.008333333,0.008333333,0.008333333,0.508333333,0.008333333,0.425
121,0.004545455,0.004545455,0.004545455,0.05,0.231818182,0.186363636,0.004545455,0.004545455,0.004545455,0.504545455
122,0.161538462,0.007692308,0.007692308,0.007692308,0.238461538,0.546153846,0.007692308,0.007692308,0.007692308,0.007692308
123,0.426315789,0.057894737,0.005263158,0.005263158,0.057894737,0.057894737,0.373684211,0.005263158,0.005263158,0.005263158
124,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
125,0.2625,0.0125,0.0125,0.0125,0.0125,0.3875,0.2625,0.0125,0.0125,0.0125
126,0.009090909,0.190909091,0.009090909,0.009090909,0.645454545,0.009090909,0.1,0.009090909,0.009090909,0.009090909
127,0.16875,0.127083333,0.002083333,0.085416667,0.002083333,0.002083333,0.002083333,0.127083333,0.439583333,0.04375
128,0.002439024,0.002439024,0.124390244,0.002439024,0.002439024,0.295121951,0.148780488,0.002439024,0.270731707,0.148780488
129,0.011111111,0.011111111,0.122222222,0.455555556,0.122222222,0.011111111,0.011111111,0.233333333,0.011111111,0.011111111
130,0.007692308,0.007692308,0.161538462,0.007692308,0.315384615,0.315384615,0.007692308,0.007692308,0.007692308,0.161538462
131,0.025,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025
132,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.016666667,0.85
133,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
134,0.016666667,0.016666667,0.016666667,0.183333333,0.516666667,0.016666667,0.016666667,0.016666667,0.183333333,0.016666667
135,0.025,0.025,0.025,0.025,0.025,0.275,0.025,0.025,0.025,0.525
136,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.7,0.033333333,0.033333333
137,0.004761905,0.957142857,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905,0.004761905
