comment_num,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
83,1.72E-02,3.62E-01,1.72E-02,3.62E-01,1.72E-02,1.90E-01,1.72E-02,1.72E-02
84,1.94E-01,1.94E-01,5.65E-01,9.26E-03,9.26E-03,9.26E-03,9.26E-03,9.26E-03
85,5.92E-01,2.56E-01,1.30E-01,4.20E-03,4.20E-03,4.20E-03,4.20E-03,4.20E-03
86,1.47E-02,1.47E-02,1.62E-01,1.47E-02,7.50E-01,1.47E-02,1.47E-02,1.47E-02
87,2.63E-02,2.63E-02,5.53E-01,2.63E-02,2.89E-01,2.63E-02,2.63E-02,2.63E-02
88,1.72E-02,1.72E-02,3.62E-01,1.72E-02,1.90E-01,1.72E-02,1.72E-02,3.62E-01
89,1.41E-01,1.28E-02,1.28E-02,1.41E-01,1.28E-02,2.69E-01,2.69E-01,1.41E-01
90,1.28E-02,1.28E-02,2.69E-01,1.28E-02,1.28E-02,1.28E-02,3.97E-01,2.69E-01
91,6.33E-03,6.33E-03,3.23E-01,6.33E-03,1.96E-01,3.86E-01,6.33E-03,6.96E-02
92,2.08E-02,2.08E-02,2.08E-02,2.08E-02,2.29E-01,2.08E-02,2.08E-02,6.46E-01
93,2.08E-02,4.37E-01,2.08E-02,4.37E-01,2.08E-02,2.08E-02,2.08E-02,2.08E-02
94,2.08E-02,2.08E-02,2.08E-02,2.08E-02,8.54E-01,2.08E-02,2.08E-02,2.08E-02
95,3.57E-02,3.57E-02,7.50E-01,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.57E-02
96,7.25E-03,7.25E-03,7.25E-03,5.87E-01,7.97E-02,7.97E-02,2.25E-01,7.25E-03
97,3.53E-01,3.88E-03,3.88E-03,6.24E-01,3.88E-03,3.88E-03,3.88E-03,3.88E-03
98,1.02E-02,5.20E-01,1.02E-02,2.14E-01,1.02E-02,1.02E-02,1.02E-02,2.14E-01
99,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,5.53E-01
100,3.47E-03,5.59E-01,3.82E-02,3.47E-03,3.47E-03,2.47E-01,1.42E-01,3.47E-03
101,6.11E-01,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02,5.56E-02
102,2.08E-02,2.08E-02,2.08E-02,4.37E-01,2.08E-02,2.08E-02,2.29E-01,2.29E-01
103,1.85E-01,5.95E-03,5.95E-03,5.95E-03,2.44E-01,5.95E-03,5.95E-03,5.42E-01
104,5.47E-01,1.20E-01,3.88E-03,3.88E-03,3.88E-03,3.14E-01,3.88E-03,3.88E-03
105,5.20E-01,1.12E-01,3.16E-01,1.02E-02,1.02E-02,1.02E-02,1.02E-02,1.02E-02
106,1.28E-02,1.41E-01,1.28E-02,1.28E-02,1.28E-02,6.54E-01,1.41E-01,1.28E-02
107,8.42E-02,2.72E-03,3.83E-01,2.99E-02,2.72E-03,2.72E-03,2.20E-01,2.74E-01
108,2.08E-02,2.08E-02,2.08E-02,2.08E-02,4.37E-01,2.08E-02,2.08E-02,4.37E-01
109,4.43E-01,4.39E-03,4.82E-02,4.39E-03,4.39E-03,4.82E-02,1.80E-01,2.68E-01
110,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.63E-02,2.89E-01,5.53E-01
111,3.57E-02,3.57E-02,3.57E-02,3.57E-02,3.93E-01,3.57E-02,3.93E-01,3.57E-02
112,7.81E-03,7.81E-03,7.81E-03,2.42E-01,7.81E-03,7.81E-03,5.55E-01,1.64E-01
113,1.41E-01,1.41E-01,1.28E-02,1.28E-02,1.28E-02,6.54E-01,1.28E-02,1.28E-02
114,4.81E-03,4.81E-03,5.29E-02,4.81E-03,1.49E-01,5.29E-02,1.49E-01,5.82E-01
115,1.72E-02,1.72E-02,8.79E-01,1.72E-02,1.72E-02,1.72E-02,1.72E-02,1.72E-02
116,3.36E-03,3.69E-02,3.36E-03,1.04E-01,1.04E-01,1.71E-01,5.74E-01,3.36E-03
117,2.18E-03,3.73E-01,3.30E-01,2.18E-03,2.18E-03,2.21E-01,2.18E-03,6.77E-02
118,8.47E-03,8.47E-03,8.47E-03,8.47E-03,8.47E-03,9.41E-01,8.47E-03,8.47E-03
